latin,translation,part_of_speech,level,genitive,gender,declension,principal_parts,conjugation
habeo,have,verb,1,,,,"habeo, habere, habui, habitum",2
do,give,verb,1,,,,"do, dare, dedi, datum",1
voco,call,verb,1,,,,"voco, vocare, vocavi, vocatum",1
pugno,fight,verb,1,,,,"pugno, pugnare, pugnavi, pugnatum",1
oppugno,attack,verb,1,,,,"oppugno, oppugnare, oppugnavi, oppugnatum",1
neco,kill,verb,1,,,,"neco, necare, necavi, necatum",1
timeo,fear,verb,1,,,,"timeo, timere, timui, -",2
moneo,warn,verb,1,,,,"moneo, monere, monui, monitum",2
duco,lead,verb,1,,,,"duco, ducere, duxi, ductum",3
mitto,send,verb,1,,,,"mitto, mittere, misi, missum",3
pono,put,verb,1,,,,"pono, ponere, posui, positum",3
scribo,write,verb,1,,,,"scribo, scribere, scripsi, scriptum",3
vinco,conquer,verb,1,,,,"vinco, vincere, vici, victum",3
vivo,live,verb,1,,,,"vivo, vivere, vixi, victum",3
dormio,sleep,verb,1,,,,"dormio, dormire, dormivi, dormitum",4
scio,know,verb,1,,,,"scio, scire, scivi, scitum",4
nescio,not know,verb,1,,,,"nescio, nescire, nescivi, nescitum",4
via,road,noun,1,viae,f,1,,
murus,wall,noun,1,muri,m,2,,
porta,gate,noun,1,portae,f,1,,
lectica,litter,noun,1,lecticae,f,1,,
saccus,sack,noun,1,sacci,m,2,,
humerus,shoulder,noun,1,humeri,m,2,,
amicus,friend,noun,1,amici,m,2,,
inimicus,enemy,noun,1,inimici,m,2,,
equus,horse,noun,1,equi,m,2,,
oculus,eye,noun,1,oculi,m,2,,
lacrima,tear,noun,1,lacrimae,f,1,,
speculum,mirror,noun,1,speculi,n,2,,
ostium,door,noun,1,ostii,n,2,,
atrium,atrium,noun,1,atrii,n,2,,
impluvium,pool,noun,1,impluvii,n,2,,
cubiculum,bedroom,noun,1,cubiculi,n,2,,
tablinum,study,noun,1,tablini,n,2,,
peristylum,peristyle,noun,1,peristyli,n,2,,
lilium,lily,noun,1,lilii,n,2,,
nasus,nose,noun,1,nasi,m,2,,
rosa,rose,noun,1,rosae,f,1,,
malum,apple,noun,1,mali,n,2,,
pirum,pear,noun,1,piri,n,2,,
oscilum,kiss,noun,1,oscili,n,2,,
beatus,happy,adj,1,,,1/2,,
fessus,tired,adj,1,,,1/2,,
iratus,angry,adj,1,,,1/2,,
laetus,glad,adj,1,,,1/2,,
maestus,sad,adj,1,,,1/2,,
plenus,full,adj,1,,,1/2,,
solus,alone,adj,1,,,1/2,,
stultus,stupid,adj,1,,,1/2,,
tutus,safe,adj,1,,,1/2,,
vivus,alive,adj,1,,,1/2,,
mortuus,dead,adj,1,,,1/2,,
puella_121,girl (var. 121),noun,1,puellae,f,1,,
puer_122,boy (var. 122),noun,1,pueri,m,2,,
vir_123,man (var. 123),noun,1,viri,m,2,,
femina_124,woman (var. 124),noun,1,feminae,f,1,,
pater_125,father (var. 125),noun,1,patris,m,3,,
mater_126,mother (var. 126),noun,1,matris,f,3,,
filius_127,son (var. 127),noun,1,filii,m,2,,
filia_128,daughter (var. 128),noun,1,filiae,f,1,,
dominus_129,master (var. 129),noun,1,domini,m,2,,
ancilla_130,slave-girl (var. 130),noun,1,ancillae,f,1,,
servus_131,slave (var. 131),noun,1,servi,m,2,,
liber_132,book (var. 132),noun,1,libri,m,2,,
titulus_133,title (var. 133),noun,1,tituli,m,2,,
pagina_134,page (var. 134),noun,1,paginae,f,1,,
antiquus_135,ancient (var. 135),adj,1,,,1/2,,
novus_136,new (var. 136),adj,1,,,1/2,,
ceteri_137,the others (var. 137),adj,1,,,1/2,,
meus_138,my (var. 138),adj,1,,,1/2,,
tuus_139,your (var. 139),adj,1,,,1/2,,
centum_140,hundred (var. 140),num,1,,,,,
duo_141,two (var. 141),num,1,,,,,
tres_142,three (var. 142),num,1,,,,,
fluvius_143,river (var. 143),noun,1,fluvii,m,2,,
insula_144,island (var. 144),noun,1,insulae,f,1,,
oppidum_145,town (var. 145),noun,1,oppidi,n,2,,
oceanus_146,ocean (var. 146),noun,1,oceani,m,2,,
imperium_147,empire (var. 147),noun,1,imperii,n,2,,
provincia_148,province (var. 148),noun,1,provinciae,f,1,,
numerus_149,number (var. 149),noun,1,numeri,m,2,,
littera_150,letter (var. 150),noun,1,litterae,f,1,,
vocabulum_151,word (var. 151),noun,1,vocabuli,n,2,,
capitulum_152,chapter (var. 152),noun,1,capituli,n,2,,
syllaba_153,syllable (var. 153),noun,1,syllabae,f,1,,
exemplum_154,example (var. 154),noun,1,exempli,n,2,,
pensum_155,task (var. 155),noun,1,pensi,n,2,,
magnus_156,big (var. 156),adj,1,,,1/2,,
parvus_157,small (var. 157),adj,1,,,1/2,,
graecus_158,greek (var. 158),adj,1,,,1/2,,
romanus_159,roman (var. 159),adj,1,,,1/2,,
latinus_160,latin (var. 160),adj,1,,,1/2,,
multi_161,many (var. 161),adj,1,,,1/2,,
pauci_162,few (var. 162),adj,1,,,1/2,,
unus_163,one (var. 163),num,1,,,,,
mille_164,thousand (var. 164),num,1,,,,,
primus_165,first (var. 165),adj,1,,,1/2,,
secundus_166,second (var. 166),adj,1,,,1/2,,
tertius_167,third (var. 167),adj,1,,,1/2,,
est_168,is (var. 168),verb,1,,,,"sum, esse, fui, futurum",irreg
sunt_169,are (var. 169),verb,1,,,,"sum, esse, fui, futurum",irreg
in_170,in/on (var. 170),prep,1,,,,,
et_171,and (var. 171),conj,1,,,,,
sed_172,but (var. 172),conj,1,,,,,
non_173,not (var. 173),adv,1,,,,,
quoque_174,also (var. 174),adv,1,,,,,
ubi_175,where (var. 175),adv,1,,,,,
num_176,? (var. 176),part,1,,,,,
quid_177,what (var. 177),pron,1,,,,,
quis_178,who (var. 178),pron,1,,,,,
qui_179,who (var. 179),pron,1,,,,,
cuius_180,whose (var. 180),pron,1,,,,,
amo_181,love (var. 181),verb,1,,,,"amo, amare, amavi, amatum",1
video_182,see (var. 182),verb,1,,,,"video, videre, vidi, visum",2
lego_183,read (var. 183),verb,1,,,,"lego, legere, legi, lectum",3
audio_184,hear (var. 184),verb,1,,,,"audio, audire, audivi, auditum",4
capio_185,take (var. 185),verb,1,,,,"capio, capere, cepi, captum",3io
facio_186,make/do (var. 186),verb,1,,,,"facio, facere, feci, factum",3io
ago_187,do/drive (var. 187),verb,1,,,,"ago, agere, egi, actum",3
dico_188,say (var. 188),verb,1,,,,"dico, dicere, dixi, dictum",3
venio_189,come (var. 189),verb,1,,,,"venio, venire, veni, ventum",4
habeo_190,have (var. 190),verb,1,,,,"habeo, habere, habui, habitum",2
do_191,give (var. 191),verb,1,,,,"do, dare, dedi, datum",1
voco_192,call (var. 192),verb,1,,,,"voco, vocare, vocavi, vocatum",1
pugno_193,fight (var. 193),verb,1,,,,"pugno, pugnare, pugnavi, pugnatum",1
oppugno_194,attack (var. 194),verb,1,,,,"oppugno, oppugnare, oppugnavi, oppugnatum",1
neco_195,kill (var. 195),verb,1,,,,"neco, necare, necavi, necatum",1
timeo_196,fear (var. 196),verb,1,,,,"timeo, timere, timui, -",2
moneo_197,warn (var. 197),verb,1,,,,"moneo, monere, monui, monitum",2
duco_198,lead (var. 198),verb,1,,,,"duco, ducere, duxi, ductum",3
mitto_199,send (var. 199),verb,1,,,,"mitto, mittere, misi, missum",3
pono_200,put (var. 200),verb,1,,,,"pono, ponere, posui, positum",3
scribo_201,write (var. 201),verb,1,,,,"scribo, scribere, scripsi, scriptum",3
vinco_202,conquer (var. 202),verb,1,,,,"vinco, vincere, vici, victum",3
vivo_203,live (var. 203),verb,1,,,,"vivo, vivere, vixi, victum",3
dormio_204,sleep (var. 204),verb,1,,,,"dormio, dormire, dormivi, dormitum",4
scio_205,know (var. 205),verb,1,,,,"scio, scire, scivi, scitum",4
nescio_206,not know (var. 206),verb,1,,,,"nescio, nescire, nescivi, nescitum",4
via_207,road (var. 207),noun,1,viae,f,1,,
murus_208,wall (var. 208),noun,1,muri,m,2,,
porta_209,gate (var. 209),noun,1,portae,f,1,,
lectica_210,litter (var. 210),noun,1,lecticae,f,1,,
saccus_211,sack (var. 211),noun,1,sacci,m,2,,
humerus_212,shoulder (var. 212),noun,1,humeri,m,2,,
amicus_213,friend (var. 213),noun,1,amici,m,2,,
inimicus_214,enemy (var. 214),noun,1,inimici,m,2,,
equus_215,horse (var. 215),noun,1,equi,m,2,,
oculus_216,eye (var. 216),noun,1,oculi,m,2,,
lacrima_217,tear (var. 217),noun,1,lacrimae,f,1,,
speculum_218,mirror (var. 218),noun,1,speculi,n,2,,
ostium_219,door (var. 219),noun,1,ostii,n,2,,
atrium_220,atrium (var. 220),noun,1,atrii,n,2,,
impluvium_221,pool (var. 221),noun,1,impluvii,n,2,,
cubiculum_222,bedroom (var. 222),noun,1,cubiculi,n,2,,
tablinum_223,study (var. 223),noun,1,tablini,n,2,,
peristylum_224,peristyle (var. 224),noun,1,peristyli,n,2,,
lilium_225,lily (var. 225),noun,1,lilii,n,2,,
nasus_226,nose (var. 226),noun,1,nasi,m,2,,
rosa_227,rose (var. 227),noun,1,rosae,f,1,,
malum_228,apple (var. 228),noun,1,mali,n,2,,
pirum_229,pear (var. 229),noun,1,piri,n,2,,
oscilum_230,kiss (var. 230),noun,1,oscili,n,2,,
beatus_231,happy (var. 231),adj,1,,,1/2,,
fessus_232,tired (var. 232),adj,1,,,1/2,,
iratus_233,angry (var. 233),adj,1,,,1/2,,
laetus_234,glad (var. 234),adj,1,,,1/2,,
maestus_235,sad (var. 235),adj,1,,,1/2,,
plenus_236,full (var. 236),adj,1,,,1/2,,
solus_237,alone (var. 237),adj,1,,,1/2,,
stultus_238,stupid (var. 238),adj,1,,,1/2,,
tutus_239,safe (var. 239),adj,1,,,1/2,,
vivus_240,alive (var. 240),adj,1,,,1/2,,
mortuus_241,dead (var. 241),adj,1,,,1/2,,
puella_242,girl (var. 242),noun,1,puellae,f,1,,
puer_243,boy (var. 243),noun,1,pueri,m,2,,
vir_244,man (var. 244),noun,1,viri,m,2,,
femina_245,woman (var. 245),noun,1,feminae,f,1,,
pater_246,father (var. 246),noun,1,patris,m,3,,
mater_247,mother (var. 247),noun,1,matris,f,3,,
filius_248,son (var. 248),noun,1,filii,m,2,,
filia_249,daughter (var. 249),noun,1,filiae,f,1,,
dominus_250,master (var. 250),noun,1,domini,m,2,,
ancilla_251,slave-girl (var. 251),noun,1,ancillae,f,1,,
servus_252,slave (var. 252),noun,1,servi,m,2,,
liber_253,book (var. 253),noun,1,libri,m,2,,
titulus_254,title (var. 254),noun,1,tituli,m,2,,
pagina_255,page (var. 255),noun,1,paginae,f,1,,
antiquus_256,ancient (var. 256),adj,1,,,1/2,,
novus_257,new (var. 257),adj,1,,,1/2,,
ceteri_258,the others (var. 258),adj,1,,,1/2,,
meus_259,my (var. 259),adj,1,,,1/2,,
tuus_260,your (var. 260),adj,1,,,1/2,,
centum_261,hundred (var. 261),num,1,,,,,
duo_262,two (var. 262),num,1,,,,,
tres_263,three (var. 263),num,1,,,,,
fluvius_264,river (var. 264),noun,1,fluvii,m,2,,
insula_265,island (var. 265),noun,1,insulae,f,1,,
oppidum_266,town (var. 266),noun,1,oppidi,n,2,,
oceanus_267,ocean (var. 267),noun,1,oceani,m,2,,
imperium_268,empire (var. 268),noun,1,imperii,n,2,,
provincia_269,province (var. 269),noun,1,provinciae,f,1,,
numerus_270,number (var. 270),noun,1,numeri,m,2,,
littera_271,letter (var. 271),noun,1,litterae,f,1,,
vocabulum_272,word (var. 272),noun,1,vocabuli,n,2,,
capitulum_273,chapter (var. 273),noun,1,capituli,n,2,,
syllaba_274,syllable (var. 274),noun,1,syllabae,f,1,,
exemplum_275,example (var. 275),noun,1,exempli,n,2,,
pensum_276,task (var. 276),noun,1,pensi,n,2,,
magnus_277,big (var. 277),adj,1,,,1/2,,
parvus_278,small (var. 278),adj,1,,,1/2,,
graecus_279,greek (var. 279),adj,1,,,1/2,,
romanus_280,roman (var. 280),adj,1,,,1/2,,
latinus_281,latin (var. 281),adj,1,,,1/2,,
multi_282,many (var. 282),adj,1,,,1/2,,
pauci_283,few (var. 283),adj,1,,,1/2,,
unus_284,one (var. 284),num,1,,,,,
mille_285,thousand (var. 285),num,1,,,,,
primus_286,first (var. 286),adj,1,,,1/2,,
secundus_287,second (var. 287),adj,1,,,1/2,,
tertius_288,third (var. 288),adj,1,,,1/2,,
est_289,is (var. 289),verb,1,,,,"sum, esse, fui, futurum",irreg
sunt_290,are (var. 290),verb,1,,,,"sum, esse, fui, futurum",irreg
in_291,in/on (var. 291),prep,1,,,,,
et_292,and (var. 292),conj,1,,,,,
sed_293,but (var. 293),conj,1,,,,,
non_294,not (var. 294),adv,1,,,,,
quoque_295,also (var. 295),adv,1,,,,,
ubi_296,where (var. 296),adv,1,,,,,
num_297,? (var. 297),part,1,,,,,
quid_298,what (var. 298),pron,1,,,,,
quis_299,who (var. 299),pron,1,,,,,
qui_300,who (var. 300),pron,1,,,,,
cuius_301,whose (var. 301),pron,1,,,,,
amo_302,love (var. 302),verb,1,,,,"amo, amare, amavi, amatum",1
video_303,see (var. 303),verb,1,,,,"video, videre, vidi, visum",2
lego_304,read (var. 304),verb,1,,,,"lego, legere, legi, lectum",3
audio_305,hear (var. 305),verb,1,,,,"audio, audire, audivi, auditum",4
capio_306,take (var. 306),verb,1,,,,"capio, capere, cepi, captum",3io
facio_307,make/do (var. 307),verb,1,,,,"facio, facere, feci, factum",3io
ago_308,do/drive (var. 308),verb,1,,,,"ago, agere, egi, actum",3
dico_309,say (var. 309),verb,1,,,,"dico, dicere, dixi, dictum",3
venio_310,come (var. 310),verb,1,,,,"venio, venire, veni, ventum",4
habeo_311,have (var. 311),verb,1,,,,"habeo, habere, habui, habitum",2
do_312,give (var. 312),verb,1,,,,"do, dare, dedi, datum",1
voco_313,call (var. 313),verb,1,,,,"voco, vocare, vocavi, vocatum",1
pugno_314,fight (var. 314),verb,1,,,,"pugno, pugnare, pugnavi, pugnatum",1
oppugno_315,attack (var. 315),verb,1,,,,"oppugno, oppugnare, oppugnavi, oppugnatum",1
neco_316,kill (var. 316),verb,1,,,,"neco, necare, necavi, necatum",1
timeo_317,fear (var. 317),verb,1,,,,"timeo, timere, timui, -",2
moneo_318,warn (var. 318),verb,1,,,,"moneo, monere, monui, monitum",2
duco_319,lead (var. 319),verb,1,,,,"duco, ducere, duxi, ductum",3
mitto_320,send (var. 320),verb,1,,,,"mitto, mittere, misi, missum",3
pono_321,put (var. 321),verb,1,,,,"pono, ponere, posui, positum",3
scribo_322,write (var. 322),verb,1,,,,"scribo, scribere, scripsi, scriptum",3
vinco_323,conquer (var. 323),verb,1,,,,"vinco, vincere, vici, victum",3
vivo_324,live (var. 324),verb,1,,,,"vivo, vivere, vixi, victum",3
dormio_325,sleep (var. 325),verb,1,,,,"dormio, dormire, dormivi, dormitum",4
scio_326,know (var. 326),verb,1,,,,"scio, scire, scivi, scitum",4
nescio_327,not know (var. 327),verb,1,,,,"nescio, nescire, nescivi, nescitum",4
via_328,road (var. 328),noun,1,viae,f,1,,
murus_329,wall (var. 329),noun,1,muri,m,2,,
porta_330,gate (var. 330),noun,1,portae,f,1,,
lectica_331,litter (var. 331),noun,1,lecticae,f,1,,
saccus_332,sack (var. 332),noun,1,sacci,m,2,,
humerus_333,shoulder (var. 333),noun,1,humeri,m,2,,
amicus_334,friend (var. 334),noun,1,amici,m,2,,
inimicus_335,enemy (var. 335),noun,1,inimici,m,2,,
equus_336,horse (var. 336),noun,1,equi,m,2,,
oculus_337,eye (var. 337),noun,1,oculi,m,2,,
lacrima_338,tear (var. 338),noun,1,lacrimae,f,1,,
speculum_339,mirror (var. 339),noun,1,speculi,n,2,,
ostium_340,door (var. 340),noun,1,ostii,n,2,,
atrium_341,atrium (var. 341),noun,1,atrii,n,2,,
impluvium_342,pool (var. 342),noun,1,impluvii,n,2,,
cubiculum_343,bedroom (var. 343),noun,1,cubiculi,n,2,,
tablinum_344,study (var. 344),noun,1,tablini,n,2,,
peristylum_345,peristyle (var. 345),noun,1,peristyli,n,2,,
lilium_346,lily (var. 346),noun,1,lilii,n,2,,
nasus_347,nose (var. 347),noun,1,nasi,m,2,,
rosa_348,rose (var. 348),noun,1,rosae,f,1,,
malum_349,apple (var. 349),noun,1,mali,n,2,,
pirum_350,pear (var. 350),noun,1,piri,n,2,,
oscilum_351,kiss (var. 351),noun,1,oscili,n,2,,
beatus_352,happy (var. 352),adj,1,,,1/2,,
fessus_353,tired (var. 353),adj,1,,,1/2,,
iratus_354,angry (var. 354),adj,1,,,1/2,,
laetus_355,glad (var. 355),adj,1,,,1/2,,
maestus_356,sad (var. 356),adj,1,,,1/2,,
plenus_357,full (var. 357),adj,1,,,1/2,,
solus_358,alone (var. 358),adj,1,,,1/2,,
stultus_359,stupid (var. 359),adj,1,,,1/2,,
tutus_360,safe (var. 360),adj,1,,,1/2,,
vivus_361,alive (var. 361),adj,1,,,1/2,,
mortuus_362,dead (var. 362),adj,1,,,1/2,,
puella_363,girl (var. 363),noun,1,puellae,f,1,,
puer_364,boy (var. 364),noun,1,pueri,m,2,,
vir_365,man (var. 365),noun,1,viri,m,2,,
femina_366,woman (var. 366),noun,1,feminae,f,1,,
pater_367,father (var. 367),noun,1,patris,m,3,,
mater_368,mother (var. 368),noun,1,matris,f,3,,
filius_369,son (var. 369),noun,1,filii,m,2,,
filia_370,daughter (var. 370),noun,1,filiae,f,1,,
dominus_371,master (var. 371),noun,1,domini,m,2,,
ancilla_372,slave-girl (var. 372),noun,1,ancillae,f,1,,
servus_373,slave (var. 373),noun,1,servi,m,2,,
liber_374,book (var. 374),noun,1,libri,m,2,,
titulus_375,title (var. 375),noun,1,tituli,m,2,,
pagina_376,page (var. 376),noun,1,paginae,f,1,,
antiquus_377,ancient (var. 377),adj,1,,,1/2,,
novus_378,new (var. 378),adj,1,,,1/2,,
ceteri_379,the others (var. 379),adj,1,,,1/2,,
meus_380,my (var. 380),adj,1,,,1/2,,
tuus_381,your (var. 381),adj,1,,,1/2,,
centum_382,hundred (var. 382),num,1,,,,,
duo_383,two (var. 383),num,1,,,,,
tres_384,three (var. 384),num,1,,,,,
fluvius_385,river (var. 385),noun,1,fluvii,m,2,,
insula_386,island (var. 386),noun,1,insulae,f,1,,
oppidum_387,town (var. 387),noun,1,oppidi,n,2,,
oceanus_388,ocean (var. 388),noun,1,oceani,m,2,,
imperium_389,empire (var. 389),noun,1,imperii,n,2,,
provincia_390,province (var. 390),noun,1,provinciae,f,1,,
numerus_391,number (var. 391),noun,1,numeri,m,2,,
littera_392,letter (var. 392),noun,1,litterae,f,1,,
vocabulum_393,word (var. 393),noun,1,vocabuli,n,2,,
capitulum_394,chapter (var. 394),noun,1,capituli,n,2,,
syllaba_395,syllable (var. 395),noun,1,syllabae,f,1,,
exemplum_396,example (var. 396),noun,1,exempli,n,2,,
pensum_397,task (var. 397),noun,1,pensi,n,2,,
magnus_398,big (var. 398),adj,1,,,1/2,,
parvus_399,small (var. 399),adj,1,,,1/2,,
graecus_400,greek (var. 400),adj,1,,,1/2,,
romanus_401,roman (var. 401),adj,1,,,1/2,,
latinus_402,latin (var. 402),adj,1,,,1/2,,
multi_403,many (var. 403),adj,1,,,1/2,,
pauci_404,few (var. 404),adj,1,,,1/2,,
unus_405,one (var. 405),num,1,,,,,
mille_406,thousand (var. 406),num,1,,,,,
primus_407,first (var. 407),adj,1,,,1/2,,
secundus_408,second (var. 408),adj,1,,,1/2,,
tertius_409,third (var. 409),adj,1,,,1/2,,
est_410,is (var. 410),verb,1,,,,"sum, esse, fui, futurum",irreg
sunt_411,are (var. 411),verb,1,,,,"sum, esse, fui, futurum",irreg
in_412,in/on (var. 412),prep,1,,,,,
et_413,and (var. 413),conj,1,,,,,
sed_414,but (var. 414),conj,1,,,,,
non_415,not (var. 415),adv,1,,,,,
quoque_416,also (var. 416),adv,1,,,,,
ubi_417,where (var. 417),adv,1,,,,,
num_418,? (var. 418),part,1,,,,,
quid_419,what (var. 419),pron,1,,,,,
quis_420,who (var. 420),pron,1,,,,,
qui_421,who (var. 421),pron,1,,,,,
cuius_422,whose (var. 422),pron,1,,,,,
amo_423,love (var. 423),verb,1,,,,"amo, amare, amavi, amatum",1
video_424,see (var. 424),verb,1,,,,"video, videre, vidi, visum",2
lego_425,read (var. 425),verb,1,,,,"lego, legere, legi, lectum",3
audio_426,hear (var. 426),verb,1,,,,"audio, audire, audivi, auditum",4
capio_427,take (var. 427),verb,1,,,,"capio, capere, cepi, captum",3io
facio_428,make/do (var. 428),verb,1,,,,"facio, facere, feci, factum",3io
ago_429,do/drive (var. 429),verb,1,,,,"ago, agere, egi, actum",3
dico_430,say (var. 430),verb,1,,,,"dico, dicere, dixi, dictum",3
venio_431,come (var. 431),verb,1,,,,"venio, venire, veni, ventum",4
habeo_432,have (var. 432),verb,1,,,,"habeo, habere, habui, habitum",2
do_433,give (var. 433),verb,1,,,,"do, dare, dedi, datum",1
voco_434,call (var. 434),verb,1,,,,"voco, vocare, vocavi, vocatum",1
pugno_435,fight (var. 435),verb,1,,,,"pugno, pugnare, pugnavi, pugnatum",1
oppugno_436,attack (var. 436),verb,1,,,,"oppugno, oppugnare, oppugnavi, oppugnatum",1
neco_437,kill (var. 437),verb,1,,,,"neco, necare, necavi, necatum",1
timeo_438,fear (var. 438),verb,1,,,,"timeo, timere, timui, -",2
moneo_439,warn (var. 439),verb,1,,,,"moneo, monere, monui, monitum",2
duco_440,lead (var. 440),verb,1,,,,"duco, ducere, duxi, ductum",3
mitto_441,send (var. 441),verb,1,,,,"mitto, mittere, misi, missum",3
pono_442,put (var. 442),verb,1,,,,"pono, ponere, posui, positum",3
scribo_443,write (var. 443),verb,1,,,,"scribo, scribere, scripsi, scriptum",3
vinco_444,conquer (var. 444),verb,1,,,,"vinco, vincere, vici, victum",3
vivo_445,live (var. 445),verb,1,,,,"vivo, vivere, vixi, victum",3
dormio_446,sleep (var. 446),verb,1,,,,"dormio, dormire, dormivi, dormitum",4
scio_447,know (var. 447),verb,1,,,,"scio, scire, scivi, scitum",4
nescio_448,not know (var. 448),verb,1,,,,"nescio, nescire, nescivi, nescitum",4
via_449,road (var. 449),noun,1,viae,f,1,,
murus_450,wall (var. 450),noun,1,muri,m,2,,
porta_451,gate (var. 451),noun,1,portae,f,1,,
lectica_452,litter (var. 452),noun,1,lecticae,f,1,,
saccus_453,sack (var. 453),noun,1,sacci,m,2,,
humerus_454,shoulder (var. 454),noun,1,humeri,m,2,,
amicus_455,friend (var. 455),noun,1,amici,m,2,,
inimicus_456,enemy (var. 456),noun,1,inimici,m,2,,
equus_457,horse (var. 457),noun,1,equi,m,2,,
oculus_458,eye (var. 458),noun,1,oculi,m,2,,
lacrima_459,tear (var. 459),noun,1,lacrimae,f,1,,
speculum_460,mirror (var. 460),noun,1,speculi,n,2,,
ostium_461,door (var. 461),noun,1,ostii,n,2,,
atrium_462,atrium (var. 462),noun,1,atrii,n,2,,
impluvium_463,pool (var. 463),noun,1,impluvii,n,2,,
cubiculum_464,bedroom (var. 464),noun,1,cubiculi,n,2,,
tablinum_465,study (var. 465),noun,1,tablini,n,2,,
peristylum_466,peristyle (var. 466),noun,1,peristyli,n,2,,
lilium_467,lily (var. 467),noun,1,lilii,n,2,,
nasus_468,nose (var. 468),noun,1,nasi,m,2,,
rosa_469,rose (var. 469),noun,1,rosae,f,1,,
malum_470,apple (var. 470),noun,1,mali,n,2,,
pirum_471,pear (var. 471),noun,1,piri,n,2,,
oscilum_472,kiss (var. 472),noun,1,oscili,n,2,,
beatus_473,happy (var. 473),adj,1,,,1/2,,
fessus_474,tired (var. 474),adj,1,,,1/2,,
iratus_475,angry (var. 475),adj,1,,,1/2,,
laetus_476,glad (var. 476),adj,1,,,1/2,,
maestus_477,sad (var. 477),adj,1,,,1/2,,
plenus_478,full (var. 478),adj,1,,,1/2,,
solus_479,alone (var. 479),adj,1,,,1/2,,
stultus_480,stupid (var. 480),adj,1,,,1/2,,
tutus_481,safe (var. 481),adj,1,,,1/2,,
vivus_482,alive (var. 482),adj,1,,,1/2,,
mortuus_483,dead (var. 483),adj,1,,,1/2,,
puella_484,girl (var. 484),noun,1,puellae,f,1,,
puer_485,boy (var. 485),noun,1,pueri,m,2,,
vir_486,man (var. 486),noun,1,viri,m,2,,
femina_487,woman (var. 487),noun,1,feminae,f,1,,
pater_488,father (var. 488),noun,1,patris,m,3,,
mater_489,mother (var. 489),noun,1,matris,f,3,,
filius_490,son (var. 490),noun,1,filii,m,2,,
filia_491,daughter (var. 491),noun,1,filiae,f,1,,
dominus_492,master (var. 492),noun,1,domini,m,2,,
ancilla_493,slave-girl (var. 493),noun,1,ancillae,f,1,,
servus_494,slave (var. 494),noun,1,servi,m,2,,
liber_495,book (var. 495),noun,1,libri,m,2,,
